model,view,n,accuracy,precision,recall,f1,fpr,fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,keywords_only,360,0.8888888888888888,0.9252873563218391,0.8563829787234043,0.8895027624309392,0.0755813953488372,0.14361702127659576
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_suspicious_cues,333,0.7957957957957958,0.7429718875502008,0.9788359788359788,0.8447488584474886,0.4444444444444444,0.021164021164021163
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original,320,0.95,0.9833333333333333,0.9315789473684211,0.9567567567567568,0.023076923076923078,0.06842105263157895
