model,view,n,accuracy,precision,recall,f1,fpr,fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,keywords_only,274,0.9087591240875912,0.9622641509433962,0.8895348837209303,0.9244712990936556,0.058823529411764705,0.11046511627906977
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_suspicious_cues,274,0.8029197080291971,0.7681818181818182,0.9825581395348837,0.8622448979591837,0.5,0.01744186046511628
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original,274,0.9452554744525548,0.9815950920245399,0.9302325581395349,0.9552238805970149,0.029411764705882353,0.06976744186046512
