model,keyword,view,delta_recall,delta_f1,original_recall,masked_recall,original_f1,masked_f1,n
c202236235762e1c871ad0ccb60c8ee5ba337b9a,curl,mask_keyword__curl,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1
c202236235762e1c871ad0ccb60c8ee5ba337b9a,requests,mask_keyword__requests,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,3
c202236235762e1c871ad0ccb60c8ee5ba337b9a,system,mask_keyword__system,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,3
c202236235762e1c871ad0ccb60c8ee5ba337b9a,urllib,mask_keyword__urllib,1.0,0.6666666666666666,1.0,0.0,0.6666666666666666,0.0,1
