model,comparison,view,delta_accuracy,delta_precision,delta_recall,delta_f1,delta_fpr,delta_fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original_minus_mask_suspicious_cues,mask_suspicious_cues,0.5,0.3,0.0,0.3333333333333333,-0.6000000000000001,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original_minus_mask_behavior_cues,mask_behavior_cues,0.5833333333333334,0.5,1.0,0.6666666666666666,-0.55,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original_minus_keywords_only,keywords_only,0.033333333333333326,0.5,1.0,0.6666666666666666,0.0,0.0
