model,view,n,accuracy,precision,recall,f1,fpr,fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,benign_replacement,389,0.9408740359897172,0.9883040935672515,0.8894736842105263,0.9362880886426593,0.010050251256281407,0.11052631578947368
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_suspicious_cues,385,0.8051948051948052,0.7318007662835249,0.9744897959183674,0.8358862144420132,0.37037037037037035,0.025510204081632654
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original,391,0.9462915601023018,0.9887005649717514,0.9020618556701031,0.9433962264150944,0.01015228426395939,0.0979381443298969
