model,view,n,accuracy,precision,recall,f1,fpr,fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,keywords_only,5,0.8,0.0,0.0,0.0,0.2,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_behavior_cues,4,0.25,0.0,0.0,0.0,0.75,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_keyword__curl,1,0.0,0.0,0.0,0.0,1.0,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_keyword__requests,3,0.0,0.0,0.0,0.0,1.0,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_keyword__system,3,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_keyword__urllib,1,0.0,0.0,0.0,0.0,1.0,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_suspicious_cues,6,0.3333333333333333,0.2,1.0,0.3333333333333333,0.8,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original,6,0.8333333333333334,0.5,1.0,0.6666666666666666,0.2,0.0
