model,view,n,accuracy,precision,recall,f1,fpr,fnr
c202236235762e1c871ad0ccb60c8ee5ba337b9a,benign_replacement,39,0.8717948717948718,0.9375,0.7894736842105263,0.8571428571428571,0.05,0.21052631578947367
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_delete,39,0.9230769230769231,0.9,0.9473684210526315,0.9230769230769231,0.1,0.05263157894736842
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_generic,39,0.9743589743589743,1.0,0.9473684210526315,0.972972972972973,0.0,0.05263157894736842
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_random,39,0.9230769230769231,0.9047619047619048,0.95,0.926829268292683,0.10526315789473684,0.05
c202236235762e1c871ad0ccb60c8ee5ba337b9a,mask_suspicious_cues,38,0.6842105263157895,0.625,1.0,0.7692307692307693,0.6666666666666666,0.0
c202236235762e1c871ad0ccb60c8ee5ba337b9a,original,40,0.925,0.9473684210526315,0.9,0.9230769230769231,0.05,0.1
